year,polity_valid_mean,polity2_mean,n_valid,n_polity2,n_rows,release,score,polity2_minus_hp
1800,-7.363636363636363,-7.363636363636363,22,22,22,p4v2015,-6.944444444444445,-0.41919191919191867
1801,-7.238095238095238,-7.238095238095238,21,21,22,p4v2015,-6.944444444444445,-0.2936507936507935
1802,-7.363636363636363,-7.363636363636363,22,22,22,p4v2015,-6.944444444444445,-0.41919191919191867
1803,-7.363636363636363,-7.363636363636363,22,22,22,p4v2015,-6.944444444444445,-0.41919191919191867
1804,-7.363636363636363,-7.363636363636363,22,22,22,p4v2015,-6.944444444444445,-0.41919191919191867
1805,-7.238095238095238,-7.238095238095238,21,21,22,p4v2015,-6.944444444444445,-0.2936507936507935
1806,-7.363636363636363,-7.363636363636363,22,22,23,p4v2015,-6.944444444444445,-0.41919191919191867
1807,-7.238095238095238,-7.238095238095238,21,21,23,p4v2015,-6.916666666666667,-0.3214285714285712
1808,-7.1,-7.1,20,20,23,p4v2015,-6.880952380952381,-0.21904761904761827
1809,-6.684210526315789,-6.8,19,20,23,p4v2015,-6.511904761904763,-0.28809523809523707
1810,-6.684210526315789,-6.8,19,20,23,p4v2015,-6.476190476190476,-0.32380952380952355
1811,-6.8,-6.904761904761905,20,21,24,p4v2015,-6.575187969924813,-0.3295739348370921
1812,-6.857142857142857,-6.857142857142857,21,21,24,p4v2015,-6.488721804511278,-0.36842105263157876
1813,-6.857142857142857,-6.857142857142857,21,21,24,p4v2015,-6.454887218045113,-0.40225563909774387
1814,-6.782608695652174,-6.782608695652174,23,23,25,p4v2015,-6.25,-0.5326086956521738
1815,-7.366666666666666,-7.366666666666666,30,30,31,p4v2015,-6.340909090909091,-1.0257575757575754
1816,-7.451612903225806,-7.451612903225806,31,31,32,p4v2015,-6.318181818181818,-1.1334310850439877
1817,-7.451612903225806,-7.451612903225806,31,31,32,p4v2015,-6.295454545454546,-1.1561583577712602
1818,-7.34375,-7.34375,32,32,33,p4v2015,-6.217391304347826,-1.1263586956521738
1819,-7.242424242424242,-7.242424242424242,33,33,34,p4v2015,-6.195652173913044,-1.0467720685111983
1820,-6.852941176470588,-6.742857142857143,34,35,35,p4v2015,-5.833333333333333,-0.9095238095238098
1821,-6.694444444444445,-6.594594594594595,36,37,37,p4v2015,-5.72,-0.874594594594595
1822,-6.594594594594595,-6.5,37,38,38,p4v2015,-5.615384615384615,-0.884615384615385
1823,-6.552631578947368,-6.552631578947368,38,38,38,p4v2015,-5.6923076923076925,-0.8603238866396756
